TRADE_DT,S_INFO_WINDCODE,CRNCY_CODE,S_DQ_OPEN,S_DQ_CLOSE,S_DQ_CHANGE,S_DQ_PCTCHANGE,S_DQ_LOW,S_DQ_HIGH,S_DQ_VOLUME,S_DQ_AMOUNT
2013-09-16,159931.SZ,CNY,0.98,0.974,-0.015,-1.5167,0.96,0.989,934867.08,91014.4589
2013-09-17,159931.SZ,CNY,0.971,0.954,-0.02,-2.0534,0.954,0.979,605708.35,58282.9893
2013-09-18,159931.SZ,CNY,0.95,0.957,0.003,0.3145,0.943,0.959,433135.94,41385.7365
2013-09-23,159931.SZ,CNY,0.958,0.963,0.006,0.627,0.952,0.965,179237.08,17195.5668
2013-09-24,159931.SZ,CNY,0.96,0.939,-0.024,-2.4922,0.927,0.96,251231.68,23521.7322
2013-09-25,159931.SZ,CNY,0.938,0.931,-0.008,-0.852,0.927,0.946,239503.5,22471.9674
2013-09-26,159931.SZ,CNY,0.931,0.909,-0.022,-2.3631,0.909,0.931,430580.3,39386.2599
2013-09-27,159931.SZ,CNY,0.906,0.915,0.006,0.6601,0.9,0.916,315934.75,28723.5263
2013-09-30,159931.SZ,CNY,0.916,0.918,0.003,0.3279,0.912,0.92,180948.5,16590.4647
2013-10-08,159931.SZ,CNY,0.904,0.93,0.012,1.3072,0.902,0.931,203872.57,18744.7386
2013-10-09,159931.SZ,CNY,0.933,0.934,0.004,0.4301,0.921,0.939,92299.97,8593.5891
2013-10-10,159931.SZ,CNY,0.936,0.919,-0.015,-1.606,0.919,0.936,242254.31,22423.7554
2013-10-11,159931.SZ,CNY,0.92,0.937,0.018,1.9587,0.92,0.939,265066.67,24541.424
2013-10-14,159931.SZ,CNY,0.937,0.929,-0.008,-0.8538,0.925,0.937,255405.53,23696.2055
2013-10-15,159931.SZ,CNY,0.929,0.921,-0.008,-0.8611,0.919,0.929,67231.21,6203.037
2013-10-16,159931.SZ,CNY,0.919,0.905,-0.016,-1.7372,0.904,0.919,87845.56,8014.2324
2013-10-17,159931.SZ,CNY,0.911,0.905,0.0,0.0,0.902,0.911,27996.78,2541.5524
2013-10-18,159931.SZ,CNY,0.905,0.912,0.007,0.7735,0.902,0.916,92714.82,8426.548
2013-10-21,159931.SZ,CNY,0.919,0.92,0.008,0.8772,0.901,0.921,117012.7,10692.3018
2013-10-22,159931.SZ,CNY,0.919,0.903,-0.017,-1.8478,0.902,0.919,62143.28,5640.8048
2013-10-23,159931.SZ,CNY,0.906,0.906,0.003,0.3322,0.905,0.927,72285.04,6617.4028
2013-10-24,159931.SZ,CNY,0.905,0.9,-0.006,-0.6623,0.898,0.909,35937.38,3241.1577
2013-10-25,159931.SZ,CNY,0.898,0.895,-0.005,-0.5556,0.892,0.91,66793.18,5999.6774
2013-10-28,159931.SZ,CNY,0.9,0.895,0.0,0.0,0.888,0.9,33465.96,2990.0192
2013-10-29,159931.SZ,CNY,0.895,0.91,0.015,1.676,0.893,0.925,242485.08,22001.2615
2013-10-30,159931.SZ,CNY,0.91,0.919,0.009,0.989,0.903,0.919,56140.6,5132.4898
2013-10-31,159931.SZ,CNY,0.917,0.91,-0.009,-0.9793,0.91,0.92,33181.43,3045.0846
2013-11-01,159931.SZ,CNY,0.911,0.922,0.012,1.3187,0.909,0.925,28316.37,2602.9363
2013-11-04,159931.SZ,CNY,0.928,0.914,-0.008,-0.8677,0.913,0.928,22733.07,2090.0442
2013-11-05,159931.SZ,CNY,0.91,0.908,-0.006,-0.6565,0.898,0.911,63187.8,5710.4279
2013-11-06,159931.SZ,CNY,0.901,0.898,-0.01,-1.1013,0.897,0.905,27559.52,2483.8254
2013-11-07,159931.SZ,CNY,0.898,0.897,-0.001,-0.1114,0.892,0.9,31389.41,2813.2694
2013-11-08,159931.SZ,CNY,0.897,0.885,-0.012,-1.3378,0.882,0.897,22058.28,1959.5674
2013-11-11,159931.SZ,CNY,0.88,0.881,-0.004,-0.452,0.875,0.887,24057.42,2119.4475
2013-11-12,159931.SZ,CNY,0.888,0.892,0.011,1.2486,0.882,0.892,17627.6,1566.4154
2013-11-13,159931.SZ,CNY,0.889,0.871,-0.021,-2.3543,0.87,0.889,13048.02,1143.4506
2013-11-14,159931.SZ,CNY,0.873,0.864,-0.007,-0.8037,0.859,0.873,31492.07,2724.0796
2013-11-15,159931.SZ,CNY,0.87,0.887,0.023,2.662,0.868,0.899,48451.69,4292.4429
2013-11-18,159931.SZ,CNY,0.887,0.932,0.045,5.0733,0.887,0.932,159334.86,14530.5419
2013-11-19,159931.SZ,CNY,0.929,0.921,-0.011,-1.1803,0.917,0.929,86119.02,7944.8278
2013-11-20,159931.SZ,CNY,0.919,0.921,0.0,0.0,0.918,0.929,63670.88,5867.7085
2013-11-21,159931.SZ,CNY,0.914,0.917,-0.004,-0.4343,0.904,0.919,76521.23,6961.3214
2013-11-22,159931.SZ,CNY,0.92,0.914,-0.003,-0.3272,0.909,0.921,55977.98,5110.1582
2013-11-25,159931.SZ,CNY,0.91,0.907,-0.007,-0.7659,0.905,0.923,33381.96,3053.9537
2013-11-26,159931.SZ,CNY,0.907,0.909,0.002,0.2205,0.906,0.911,367127.07,33385.2582
2013-11-27,159931.SZ,CNY,0.91,0.915,0.006,0.6601,0.905,0.92,282277.7,25732.4789
2013-11-28,159931.SZ,CNY,0.917,0.921,0.006,0.6557,0.911,0.926,81924.6,7550.4369
2013-11-29,159931.SZ,CNY,0.914,0.922,0.001,0.1086,0.914,0.93,71652.75,6604.0507
2013-12-02,159931.SZ,CNY,0.922,0.931,0.009,0.9761,0.92,0.945,114884.48,10694.305
2013-12-03,159931.SZ,CNY,0.923,0.932,0.001,0.1074,0.92,0.933,35444.7,3293.8739
2013-12-04,159931.SZ,CNY,0.926,0.94,0.008,0.8584,0.926,0.947,61453.83,5781.8118
2013-12-05,159931.SZ,CNY,0.942,0.937,-0.003,-0.3191,0.935,0.942,28544.82,2683.4178
2013-12-06,159931.SZ,CNY,0.936,0.929,-0.008,-0.8538,0.927,0.937,21199.48,1971.4586
2013-12-09,159931.SZ,CNY,0.935,0.925,-0.004,-0.4306,0.925,0.937,20669.07,1921.0194
2013-12-10,159931.SZ,CNY,0.923,0.928,0.003,0.3243,0.923,0.939,25026.83,2328.5882
2013-12-11,159931.SZ,CNY,0.92,0.911,-0.017,-1.8319,0.91,0.923,44277.88,4064.4176
2013-12-12,159931.SZ,CNY,0.912,0.912,0.001,0.1098,0.911,0.916,18958.03,1730.9371
2013-12-13,159931.SZ,CNY,0.909,0.911,-0.001,-0.1096,0.905,0.914,8092.02,735.5523
2013-12-16,159931.SZ,CNY,0.91,0.905,-0.006,-0.6586,0.904,0.911,36640.89,3322.59
2013-12-17,159931.SZ,CNY,0.907,0.898,-0.007,-0.7735,0.898,0.907,8354.83,751.2192
2013-12-18,159931.SZ,CNY,0.898,0.896,-0.002,-0.2227,0.895,0.903,23538.37,2115.1751
2013-12-19,159931.SZ,CNY,0.898,0.887,-0.009,-1.0045,0.886,0.904,15597.61,1393.1525
2013-12-20,159931.SZ,CNY,0.888,0.864,-0.023,-2.593,0.863,0.888,30544.81,2661.1071
2013-12-23,159931.SZ,CNY,0.866,0.861,-0.003,-0.3472,0.856,0.87,22340.79,1926.1192
2013-12-24,159931.SZ,CNY,0.861,0.859,-0.002,-0.2323,0.855,0.871,8395.67,724.3392
2013-12-25,159931.SZ,CNY,0.86,0.866,0.007,0.8149,0.858,0.866,48772.97,4202.1608
