日期	开盘	收盘	涨跌额	涨跌幅	最低	最高	成交量(手)	成交金额(万)	换手率

2025-01-24	1.766	1.783	0.011	0.62%	1.757	1.789	15864	282.396	3.03%
2025-01-23	1.749	1.772	0.033	1.90%	1.749	1.794	19163	341.049	2.78%
2025-01-22	1.765	1.739	-0.027	-1.53%	1.735	1.765	6415	111.610	0.93%
2025-01-21	1.758	1.766	0.003	0.17%	1.758	1.774	2245	39.644	0.33%
2025-01-20	1.765	1.763	0.000	0.00%	1.762	1.780	14691	259.995	2.13%
2025-01-17	1.760	1.763	-0.002	-0.11%	1.751	1.775	9596	169.504	1.39%
2025-01-16	1.766	1.765	0.009	0.51%	1.753	1.771	4202	74.176	0.61%
2025-01-15	1.756	1.756	0.000	0.00%	1.750	1.770	4637	81.433	0.67%
2025-01-14	1.715	1.756	0.041	2.39%	1.715	1.758	4469	77.955	0.65%
2025-01-13	1.705	1.715	-0.010	-0.58%	1.702	1.730	3316	56.807	0.48%
2025-01-10	1.742	1.725	-0.018	-1.03%	1.724	1.750	2911	50.459	0.42%
2025-01-09	1.744	1.743	-0.008	-0.46%	1.736	1.755	1931	33.664	0.28%
2025-01-08	1.751	1.751	-0.001	-0.06%	1.728	1.758	6063	105.823	0.88%
2025-01-07	1.748	1.752	0.014	0.81%	1.731	1.752	3562	62.135	0.52%
2025-01-06	1.733	1.738	0.006	0.35%	1.712	1.743	19335	335.269	2.81%
2025-01-03	1.759	1.732	-0.027	-1.53%	1.729	1.762	6355	110.974	0.92%
2025-01-02	1.825	1.759	-0.066	-3.62%	1.747	1.825	8523	151.834	1.24%
2024-12-31	1.869	1.825	-0.043	-2.30%	1.825	1.872	10609	196.476	1.54%
2024-12-30	1.849	1.868	0.019	1.03%	1.849	1.868	17910	333.441	2.60%
2024-12-27	1.843	1.849	0.005	0.27%	1.826	1.858	9710	179.258	1.41%
2024-12-26	1.849	1.844	-0.003	-0.16%	1.834	1.849	5173	95.218	0.75%
2024-12-25	1.842	1.847	0.001	0.05%	1.834	1.857	10981	202.939	1.60%
2024-12-24	1.815	1.846	0.032	1.76%	1.815	1.846	64252	1180.086	9.34%
2024-12-23	1.816	1.814	-0.002	-0.11%	1.811	1.830	8411	153.294	1.22%
2024-12-20	1.814	1.816	0.005	0.28%	1.809	1.823	6857	124.466	1.00%
2024-12-19	1.821	1.811	-0.012	-0.66%	1.802	1.821	40894	741.141	5.94%
2024-12-18	1.824	1.823	0.009	0.50%	1.809	1.833	9686	176.910	1.41%
2024-12-17	1.830	1.814	-0.003	-0.17%	1.810	1.830	5179	94.086	0.75%
2024-12-16	1.830	1.817	-0.007	-0.38%	1.810	1.830	14661	266.781	2.13%
2024-12-13	1.867	1.824	-0.046	-2.46%	1.824	1.867	23155	425.399	3.36%
2024-12-12	1.854	1.870	0.015	0.81%	1.847	1.880	11633	216.612	1.69%
2024-12-11	1.863	1.855	-0.008	-0.43%	1.846	1.868	25032	464.511	3.64%
2024-12-10	2.000	1.863	0.017	0.92%	1.860	2.000	36926	698.398	5.36%
2024-12-09	1.850	1.846	-0.004	-0.22%	1.836	1.858	15171	279.923	2.20%
2024-12-06	1.829	1.850	0.023	1.26%	1.824	1.860	15081	278.777	2.19%
